layer_id,node_id,attribute,value
7,38,node_name,Catostomus macrocheilus
7,38,sample_size,0
12,38,node_name,Catostomus macrocheilus
12,38,sample_size,0
1,39,node_name,Cottus asper
1,39,sample_size,0
8,39,node_name,Cottus asper
8,39,sample_size,0
2,39,node_name,Cottus asper
2,39,sample_size,0
9,39,node_name,Cottus asper
9,39,sample_size,0
3,39,node_name,Cottus asper
3,39,sample_size,0
4,39,node_name,Cottus asper
4,39,sample_size,19
10,39,node_name,Cottus asper
10,39,sample_size,19
5,39,node_name,Cottus asper
5,39,sample_size,0
11,39,node_name,Cottus asper
11,39,sample_size,0
6,39,node_name,Cottus asper
6,39,sample_size,0
7,39,node_name,Cottus asper
7,39,sample_size,0
12,39,node_name,Cottus asper
12,39,sample_size,0
1,40,node_name,Mylocheilus caurinus
1,40,sample_size,0
8,40,node_name,Mylocheilus caurinus
8,40,sample_size,0
2,40,node_name,Mylocheilus caurinus
2,40,sample_size,0
9,40,node_name,Mylocheilus caurinus
9,40,sample_size,0
3,40,node_name,Mylocheilus caurinus
3,40,sample_size,0
4,40,node_name,Mylocheilus caurinus
4,40,sample_size,22
10,40,node_name,Mylocheilus caurinus
10,40,sample_size,22
5,40,node_name,Mylocheilus caurinus
5,40,sample_size,7
