layer_from,node_from,layer_to,node_to,weight,type
Trophic,centroceras spp.,Trophic,chaetopleura peruviana,1,trophic
Trophic,centroceras spp.,Trophic,chiton  cummingii,1,trophic
Trophic,centroceras spp.,Trophic,chiton  granosus,1,trophic
Trophic,centroceras spp.,Trophic,chiton  latus,1,trophic
Trophic,centroceras spp.,Trophic,lottia  orbigny,1,trophic
Trophic,centroceras spp.,Trophic,enoplochiton  niger,1,trophic
Trophic,centroceras spp.,Trophic,fissurella  costata,1,trophic
Trophic,centroceras spp.,Trophic,fissurella  crassa,1,trophic
Trophic,centroceras spp.,Trophic,fissurella  cummingii,1,trophic
Trophic,centroceras spp.,Trophic,fissurella  limbata,1,trophic
Trophic,centroceras spp.,Trophic,fissurella  maxima,1,trophic
Trophic,centroceras spp.,Trophic,fissurella  picta,1,trophic
Trophic,centroceras spp.,Trophic,fissurella  puhlcra,1,trophic
Trophic,centroceras spp.,Trophic,scurria  araucana,1,trophic
Trophic,centroceras spp.,Trophic,scurria  ceciliana,1,trophic
Trophic,centroceras spp.,Trophic,scurria  plana,1,trophic
Trophic,centroceras spp.,Trophic,scurria scurra,1,trophic
Trophic,centroceras spp.,Trophic,scurria variabilis,1,trophic
Trophic,centroceras spp.,Trophic,scurria viridula,1,trophic
Trophic,centroceras spp.,Trophic,scurria zebrina,1,trophic
Trophic,centroceras spp.,Trophic,siphonaria lesoni,1,trophic
Trophic,centroceras spp.,Trophic,tegula atra,1,trophic
Trophic,centroceras spp.,Trophic,tonicia  benaventii,1,trophic
Trophic,centroceras spp.,Trophic,tonicia  chilensis,1,trophic
Trophic,centroceras spp.,Trophic,tonicia  elegans,1,trophic
Trophic,centroceras spp.,Trophic,trimusculus peruvianus,1,trophic
Trophic,ceramium spp.,Trophic,acanthopleura echinata,1,trophic
Trophic,ceramium spp.,Trophic,chaetopleura peruviana,1,trophic
Trophic,ceramium spp.,Trophic,chiton  cummingii,1,trophic
Trophic,ceramium spp.,Trophic,chiton  granosus,1,trophic
Trophic,ceramium spp.,Trophic,chiton  latus,1,trophic
